alpha_used,served_bits,energy,sla_hit_rate
1.0,32034638.0,4870148.840921,0.0
1.0,30134767.0,4617228.763353,0.0
1.0,26549495.0,4457702.7234809995,0.0
1.0,26887130.0,4655186.822891,0.0
2.0,23777426.0,4007910.590232,0.0
1.0,15549004.0,3353883.622231,0.0
2.0,11762942.0,2742683.5844010003,0.0
1.0,14385326.0,3675801.223537,0.0
1.0,15687042.0,4059679.193007,0.0
1.0,13773654.0,3733990.334621,0.0
1.0,5820663.0,2386762.748848,0.0
1.0,9377967.0,4682546.949517,0.0
1.0,4270402.0,2730768.596566,0.0
1.0,5695091.0,4444004.812872,0.0
1.0,2848192.0,2554391.375003,0.0
1.0,3234141.0,3669123.242115,0.0
1.0,6407776.0,3905051.1122319996,0.0
1.0,6033040.0,3582669.765749,0.0
1.0,4747928.0,2567636.834523,0.0
1.0,5154170.0,2970291.128925,0.0
1.0,3951802.0,2589239.469618,0.0
1.0,4806930.0,4131296.727918,0.0
2.0,2533771.0,2612862.7588750003,0.0
1.0,2737841.0,3631090.82629,0.0
1.0,1683653.0,2999968.714012,0.0
1.0,1508130.0,2415616.728518,0.0
1.0,2247727.0,2981071.644462,0.0
1.0,2849029.0,3778554.6779769994,0.0
1.0,1460817.0,3116079.333555,0.0
1.0,990204.0,2564135.556712,0.0
1.0,1465031.0,3786312.904689,0.0
1.0,888379.0,2916547.454803,0.0
1.0,329633.0,1082183.454031,0.0
1.0,555045.0,3037017.157321,0.0
1.0,450409.0,1478691.234404,0.0
1.0,603413.0,1981004.479672,0.0
1.0,424415.0,1393354.223695,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,448239.0,1471568.91725,0.0
1.0,465246.0,1527402.702612,0.0
1.0,863688.0,2835484.696714,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,870008.0,2856233.130727,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,709193.0,1293487.334837,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,432536.0,2366689.731837,0.0
1.0,428085.0,2342334.550213,0.0
1.0,327420.0,1791532.1485,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,920006.0,3695173.7376759998,0.0
1.0,0.0,0.0,0.0
1.0,458977.0,1506819.974781,0.0
1.0,428688.0,781879.513562,0.0
1.0,1391514.0,5942104.101137,0.0
1.0,586956.0,3144781.518966,0.0
1.0,512759.0,2805642.657173,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,347662.0,634097.360485,0.0
1.0,326314.0,595160.417847,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,442488.0,2421142.982458,0.0
1.0,508452.0,2782078.120834,0.0
1.0,434027.0,2374848.203277,0.0
1.0,467774.0,2559498.975832,0.0
1.0,465461.0,2546844.816356,0.0
1.0,2040943.0,11167345.605616,0.0
2.0,396942.0,2171930.880817,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
