alpha_used,served_bits,energy,sla_hit_rate
1.0,29292911.0,4961985.079403,0.0
1.0,40728615.0,6485822.049115,0.0
1.0,32702902.0,5510696.442836,0.0
1.0,31101841.0,5653283.616928,0.0
1.0,22245364.0,4294160.016557,0.0
1.0,27404476.0,5658251.722514,0.0
1.0,25705898.0,6276375.651000001,0.0
1.0,25995763.0,6372720.662763,0.0
1.0,24782218.0,6312709.178037001,0.0
1.0,22335989.0,5830989.217146,0.0
1.0,11588690.0,3258059.606373,0.0
1.0,17979279.0,5970507.218145,0.0
1.0,14609087.0,5772009.279424,0.0
1.0,11734641.0,4749371.077849,0.0
1.0,15002961.0,6146319.518781,0.0
1.0,10914087.0,4954869.819278,0.0
1.0,15604012.0,5709383.646078,0.0
1.0,15451931.0,5629585.3708190005,0.0
1.0,10885755.0,4704902.849174,0.0
1.0,7592178.0,3834529.556736,0.0
1.0,5738747.0,3232881.569053,0.0
1.0,6692499.0,5571905.910545999,0.0
1.0,6627996.0,6133874.38273,0.0
1.0,3453228.0,3659854.262091,0.0
1.0,2920665.0,3100012.5124589996,0.0
1.0,4589782.0,4734759.24323,0.0
1.0,3384833.0,4626314.299162,0.0
1.0,2938501.0,4009530.5110179996,0.0
1.0,1955112.0,3138453.925779,0.0
1.0,1736374.0,3785119.415413,0.0
1.0,1953732.0,4264061.084261,0.0
1.0,1080297.0,3757057.5203469996,0.0
1.0,665652.0,2366512.01657,0.0
1.0,490503.0,2683865.338414,0.0
1.0,827448.0,2716509.512454,0.0
1.0,721440.0,2368484.881127,0.0
1.0,908998.0,2984235.886839,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,848891.0,2786905.060806,0.0
1.0,533012.0,1749875.915742,0.0
1.0,658740.0,2162639.998809,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,870008.0,2856233.130727,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1015071.0,1851373.592446,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,432536.0,2366689.731837,0.0
1.0,378784.0,2072581.343365,0.0
1.0,438381.0,2398671.304886,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,965194.0,4103984.296088,0.0
1.0,0.0,0.0,0.0
1.0,1458744.0,4789050.574752,0.0
1.0,400118.0,729771.08066,0.0
1.0,1886384.0,8870290.353824,0.0
1.0,764901.0,4152582.534051,0.0
1.0,663111.0,3628315.94764,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,262127.0,478089.746237,0.0
1.0,295103.0,538234.322756,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,424310.0,2321681.848459,0.0
1.0,611723.0,3347141.849841,0.0
1.0,593233.0,3245971.470237,0.0
1.0,589410.0,3225050.15416,0.0
1.0,514175.0,2813394.47791,0.0
1.0,2139945.0,11709051.087345,0.0
1.0,1491695.0,8162044.739378,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
