alpha_used,served_bits,energy,sla_hit_rate
1.0,32925816.0,5325191.690004,0.0
1.0,31090376.0,5330748.318305001,0.0
1.0,23231031.0,4331640.028876,0.0
1.0,13425155.0,2393351.9082310004,0.0
1.0,19581818.0,4944757.029956,0.0
1.0,16105361.0,4539141.072245,0.0
1.0,15945658.0,5524040.848595999,0.0
1.0,13958845.0,4531360.617368,0.0
1.0,11086947.0,3669146.1346199997,0.0
1.0,6366421.0,2128308.856087,0.0
2.0,4819558.0,2125254.793393,0.0
1.0,7078955.0,3746055.687208,0.0
1.0,3680174.0,2479778.4647979997,0.0
1.0,3364894.0,2676430.743284,0.0
1.0,3011841.0,2652693.514114,0.0
1.0,2040709.0,2677241.307432,0.0
1.0,7525876.0,4380514.377341,0.0
1.0,6033040.0,3582669.765749,0.0
1.0,5317559.0,3041066.736547,0.0
1.0,5154170.0,2970291.128925,0.0
1.0,3951802.0,2589239.469618,0.0
1.0,3887678.0,3383074.77193,0.0
1.0,2382217.0,2580322.1670850003,0.0
1.0,2737841.0,3631090.82629,0.0
1.0,1482233.0,2376566.709301,0.0
1.0,1314193.0,2158406.473875,0.0
1.0,1894519.0,2512626.683098,0.0
1.0,1860295.0,2467236.965756,0.0
1.0,2614688.0,4120734.442188,0.0
1.0,1131921.0,2980825.1934979996,0.0
1.0,1003519.0,2585937.9707070002,0.0
1.0,888379.0,2916547.454803,0.0
1.0,329633.0,1082183.454031,0.0
1.0,686867.0,3758304.008526,0.0
1.0,592651.0,1945670.719727,0.0
1.0,472256.0,1550415.790832,0.0
2.0,424415.0,1393354.223695,0.0
2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,446411.0,1465565.159217,0.0
1.0,597984.0,1963179.442024,0.0
1.0,863688.0,2835484.696714,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,748897.0,2458626.794797,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,403201.0,735393.483316,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,322665.0,1765516.275615,0.0
1.0,428085.0,2342334.550213,0.0
1.0,327420.0,1791532.1485,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,884000.0,3498161.633637,0.0
1.0,0.0,0.0,0.0
1.0,457681.0,1502564.617828,0.0
1.0,364401.0,664626.503102,0.0
1.0,924138.0,3732230.669175,0.0
1.0,207803.0,1074505.710264,0.0
1.0,756714.0,4140483.770458,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,347662.0,634097.360485,0.0
1.0,435496.0,794295.167684,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,442488.0,2421142.982458,0.0
1.0,424176.0,2320950.375292,0.0
1.0,496022.0,2714066.031903,0.0
1.0,467774.0,2559498.975832,0.0
1.0,465461.0,2546844.816356,0.0
1.0,1046039.0,5723571.946986999,0.0
2.0,589408.0,3225041.397232,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
