alpha_used,served_bits,energy,sla_hit_rate
1.0,42778480.0,6920937.78163,0.0
1.0,36219600.0,6733049.826166,0.0
1.0,28074012.0,5063492.038691999,0.0
1.0,21094975.0,3812364.738229,0.0
1.0,24196930.0,5161246.162361,0.0
1.0,21279001.0,4665203.131454,0.0
1.0,19314019.0,4524375.920017,0.0
1.0,18553909.0,4756808.5950259995,0.0
1.0,18814547.0,6394515.181515999,0.0
1.0,12743087.0,3343232.642727,0.0
1.0,10103639.0,3546436.3626119997,0.0
1.0,10616137.0,5626550.1856740005,0.0
1.0,9538799.0,5209064.690301999,0.0
1.0,7902269.0,4009509.6244940003,0.0
1.0,8202635.0,4204282.977994,0.0
1.0,6549842.0,4254263.117092,0.0
1.0,10817009.0,5239372.609287,0.0
1.0,10105417.0,4720432.334755,0.0
1.0,9782937.0,4669160.348418,0.0
1.0,8791386.0,4647776.184946001,0.0
1.0,8087377.0,4973266.098455001,0.0
1.0,6276680.0,5400789.743899,0.0
1.0,5571366.0,5392587.893364,0.0
1.0,2914499.0,3104119.907427,0.0
1.0,2920665.0,3100012.5124589996,0.0
1.0,4684798.0,4860775.542436,0.0
1.0,3944507.0,5395081.987078,0.0
1.0,2326948.0,3170185.9425170003,0.0
1.0,2688314.0,4277787.015247,0.0
1.0,1979685.0,4317336.974298,0.0
1.0,1464441.0,3192096.988968,0.0
1.0,916115.0,3156120.3050180003,0.0
1.0,961889.0,3419687.54918,0.0
1.0,490503.0,2683865.338414,0.0
1.0,529946.0,1739809.821627,0.0
1.0,539476.0,1771098.671175,0.0
1.0,741700.0,2434997.262878,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,793576.0,2605307.618217,0.0
1.0,829942.0,2724696.67866,0.0
1.0,718494.0,2358814.813344,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,478007.0,1569295.099907,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,940420.0,1715220.044967,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,382602.0,2093470.739504,0.0
1.0,428085.0,2342334.550213,0.0
1.0,327420.0,1791532.1485,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1650714.0,7560599.740023,0.0
1.0,0.0,0.0,0.0
1.0,638200.0,2095209.626454,0.0
1.0,321536.0,586445.78089,0.0
1.0,1666850.0,7796091.996703999,0.0
1.0,1235197.0,6700618.909714,0.0
1.0,1677265.0,9177420.37951,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,379048.0,691341.852892,0.0
1.0,406319.0,741080.376144,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,537291.0,2939877.299424,0.0
1.0,588801.0,3221719.712949,0.0
1.0,278069.0,1521502.636579,0.0
1.0,516634.0,2826845.539689,0.0
1.0,610841.0,3342315.791988,0.0
1.0,1640782.0,8977801.280019,0.0
1.0,1319244.0,7218450.636273,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
